"Test Case ID","Test Scenario","Test Case","Preconditions","Test Steps","Test Data","Expected Result","Priority"
"TC-PAY-002","Tính cước thực tế","Tính cước thực tế cuốc xe tắc đường (thời gian di chuyển dài)","Lộ trình ngắn 3km nhưng kẹt xe mất 45 phút","1. Tính cước xe Sedan","d = 3.0km, t = 45 phút","Cước = 15.000 + (3 * 12.000) + (45 * 1.000) = 96.000 VNĐ, tính đủ phí thời gian chờ kẹt xe","Medium"
"TC-PAY-003","Cấu hình giá cước","Admin cập nhật biểu phí xe SUV thành công","Đăng nhập tài khoản role Admin","1. Vào Quản trị Giá cước
2. Nhập biểu phí mới cho SUV
3. Nhấn Lưu","{ ""baseFare"": 20000, ""pricePerKm"": 15000, ""pricePerMin"": 1500 }","Bảng PricingConfigs được cập nhật, ghi 1 bản ghi vào AuditLogs (BRULE-10), HTTP 200 OK","High"
"TC-PAY-004","Cấu hình giá cước","Chặn cập nhật giá cước với số tiền âm hoặc bằng 0","Đăng nhập Admin","1. Nhập baseFare = -5000
2. Nhấn Lưu","baseFare = -5000","Báo lỗi validation HTTP 400: 'Giá cước cơ sở phải lớn hơn 0'","High"
"TC-PAY-005","Cấu hình giá cước","Operator cố tình sửa giá cước bị chặn phân quyền","Đăng nhập tài khoản role Operator","1. Gửi request PUT /api/v1/payments/pricing/sedan","Role: operator","Hệ thống chặn HTTP 403 Forbidden: 'Chỉ Admin mới có quyền cập nhật biểu phí'","High"
"TC-PAY-006","Thanh toán Tiền mặt","Tài xế xác nhận đã nhận đủ tiền mặt từ khách","Cuốc xe hoàn thành cước phí 100.000 VNĐ, phương thức tiền mặt","1. Khách trả tiền mặt cho tài xế
2. Tài xế bấm nút 'Xác nhận đã nhận tiền'","Ride ID hợp lệ, Driver Token","Payment status chuyển 'COMPLETED', ghi nhận paidAt, tài xế chuyển về available, mở màn hình đánh giá","High"
"TC-PAY-007","Thanh toán Tiền mặt","Chặn xác nhận tiền mặt 2 lần trên cùng 1 cuốc xe","Giao dịch đã ở trạng thái COMPLETED","1. Tài xế bấm lại nút xác nhận tiền mặt","Payment status: COMPLETED","Hệ thống từ chối HTTP 400: 'Giao dịch này đã được thanh toán hoàn tất'","Medium"
"TC-PAY-008","Thanh toán Điện tử","Khách hàng thanh toán qua Cổng thanh toán điện tử thành công","Khách chọn thanh toán qua Thẻ/Ví, cuốc xe completed","1. Nhấn nút 'Thanh toán ngay'
2. Cổng thanh toán xử lý thành công","Số tiền: 139.000 VNĐ, Cổng trả về transactionId: TXN_20260910_01","Payment status chuyển 'COMPLETED', lưu transactionId, gửi email biên lai, HTTP 200 OK","High"
"TC-PAY-009","Sự cố Thanh toán","Xử lý thanh toán điện tử thất bại do tài khoản không đủ số dư (EX-07)","Thẻ khách hàng không đủ tiền thanh toán","1. Cổng thanh toán trả về lỗi 'Insufficient Balance'","Mã lỗi cổng: ERR_BALANCE","Payment status chuyển 'FAILED', app hiển thị lựa chọn cho khách: 'Nhập thẻ khác' hoặc 'Đổi sang Tiền mặt'","High"
"TC-PAY-010","Hóa đơn điện tử","Xuất hóa đơn điện tử cho chuyến đi đã thanh toán","Chuyến đi đã hoàn thành và thanh toán COMPLETED","1. Gửi request GET /api/v1/payments/:rideId/invoice","Ride ID hợp lệ","HTTP 200 OK, trả về chi tiết hóa đơn gồm tiền cước, thuế VAT 10%, mã giao dịch, thông tin xe","Medium"
"TC-TRK-001","Cập nhật GPS","Tài xế gửi tọa độ GPS định kỳ 5-10s hợp lệ","Tài xế đang online hoặc đang trong cuốc xe","1. Thiết bị tài xế phát sự kiện socket 'driver:locationUpdate'","{ ""lat"": 10.762622, ""lng"": 106.660172, ""bearing"": 90, ""speed"": 35 }","currentLocation trong DriverProfile được cập nhật dạng GeoJSON Point, độ trễ < 1.5s","High"
"TC-TRK-002","Cập nhật GPS","Chặn cập nhật GPS với tọa độ ngoài giới hạn địa lý","Tài xế phát socket","1. Gửi tọa độ lat > 90 hoặc lng > 180","{ ""lat"": 195.0, ""lng"": 250.0 }","Hệ thống từ chối cập nhật tọa độ không hợp lệ, ngắt packet rác","Medium"
"TC-TRK-003","Theo dõi xe trực tuyến","Khách hàng nhận tọa độ xe di chuyển real-time trên bản đồ","Khách hàng tham gia room socket 'ride_{rideId}'","1. Tài xế phát locationUpdate
2. Server broadcast tới room chuyến xe","Room: ride_60b8d295f1d2c72b8c5e6f50","App khách hàng nhận sự kiện và biểu tượng xe di chuyển mượt mà trên bản đồ","High"
"TC-TRK-004","Tính lại ETA","Tự động tính lại thời gian dự kiến đến (ETA) theo vị trí mới","Tài xế đang di chuyển tới điểm đón khách","1. Vị trí xe cập nhật tiến gần điểm đón từ 3km còn 1km
2. Hệ thống tính lại ETA","Khoảng cách còn lại: 1.0km","ETA cập nhật giảm từ 8 phút xuống còn 3 phút trên app khách hàng","Medium"
"TC-TRK-005","Bản đồ Operator","Operator xem toàn bộ xe online trên bản đồ giám sát trung tâm","Đăng nhập tài khoản role Operator/Admin","1. Gửi GET /api/v1/tracking/live","Role: operator","HTTP 200 OK, trả về danh sách tất cả tài xế online kèm tọa độ GPS và trạng thái (available/busy)","High"
"TC-NOTIF-001","Thông báo In-App","Bắn thông báo đẩy In-app khi tài xế chấp nhận cuốc","Tài xế vừa bấm nhận cuốc xe","1. Server kích hoạt sự kiện thông báo
2. App khách hàng nhận socket","Tiêu đề: 'Đã tìm thấy tài xế!'","Khách hàng nhận popup thông báo tên tài xế, biển số xe và thời gian đến dự kiến","High"
"TC-NOTIF-002","Thông báo Email","Gửi email hóa đơn tự động sau khi thanh toán thành công","Cuốc xe thanh toán hoàn tất","1. Hệ thống tạo hóa đơn
2. Kích hoạt hàng đợi gửi email nền","Email nhận: customer@example.com","Khách hàng nhận được email chứa chi tiết biên lai cước phí trong vòng 30 giây","Medium"
"TC-NOTIF-003","Hộp thư thông báo","Người dùng xem danh sách thông báo cá nhân","Đã đăng nhập","1. Mở màn hình Chuông thông báo (GET /api/v1/notifications)","User Token","HTTP 200 OK, trả về danh sách thông báo phân trang, hiển thị rõ tin chưa đọc (isRead=false)","Medium"
"TC-NOTIF-004","Đánh dấu đã đọc","Đánh dấu 1 thông báo cụ thể là đã đọc","Có thông báo chưa đọc","1. Bấm vào thông báo để xem chi tiết","PUT /api/v1/notifications/:id/read","isRead chuyển sang true, số lượng badge thông báo chưa đọc giảm 1, HTTP 200 OK","Low"
"TC-NOTIF-005","Đánh dấu đã đọc","Đánh dấu tất cả thông báo là đã đọc","Có nhiều thông báo chưa đọc","1. Nhấn nút 'Đánh dấu đã đọc tất cả'","PUT /api/v1/notifications/read-all","Toàn bộ thông báo của user chuyển isRead=true, badge về 0, HTTP 200 OK","Low"
"TC-RAT-001","Đánh giá chuyến đi","Khách hàng gửi đánh giá 5 sao kèm nhận xét hợp lệ (BRULE-08)","Cuốc xe đã completed và thanh toán COMPLETED","1. Mở màn hình Đánh giá
2. Chọn 5 sao
3. Nhập nhận xét
4. Bấm Gửi","rating = 5, comment = 'Tài xế lái xe an toàn, lịch sự'","Tạo bản ghi RatingReview, cập nhật rating trung bình tài xế, HTTP 201 Created","High"
"TC-RAT-002","Đánh giá chuyến đi","Chặn gửi đánh giá với số sao nhỏ hơn 1 hoặc lớn hơn 5","Cuốc xe đã hoàn thành","1. Gửi request rating = 6 sao hoặc rating = 0 sao","rating = 6","Báo lỗi validation HTTP 400: 'Điểm đánh giá phải từ 1 đến 5 sao'","High"
"TC-RAT-003","Đánh giá chuyến đi","Chặn đánh giá 2 lần trên cùng 1 chuyến xe (EX-09)","Khách hàng đã đánh giá chuyến xe này trước đó","1. Cố tình gửi lại đánh giá lần thứ 2 cho cùng rideId","rideId đã có đánh giá","Hệ thống từ chối HTTP 409 Conflict: 'Chuyến đi này đã được đánh giá'","High"
"TC-RAT-004","Tính lại Rating tài xế","Tự động tính lại điểm trung bình tài xế theo công thức tích lũy (BRULE-08)","Tài xế đang có 4 lượt đánh giá, điểm TB 4.0. Lượt thứ 5 khách chấm 5 sao.","1. Khách gửi đánh giá 5 sao","oldAvg = 4.0, totalReviews = 4, newScore = 5","newAvg = (4.0 * 4 + 5) / 5 = 4.2★, totalReviews tăng lên 5 trong DriverProfile","High"
"TC-RAT-005","Xem nhận xét","Tài xế xem danh sách phản hồi và nhận xét của khách hàng","Tài xế đã đăng nhập","1. Gửi GET /api/v1/ratings/my-reviews","Driver Token","HTTP 200 OK, trả về danh sách số sao và lời nhận xét của khách hàng","Medium"
"TC-ADM-001","Dashboard vận hành","Admin/Operator xem dashboard chỉ số vận hành ngày","Đăng nhập quyền Admin hoặc Operator","1. Truy cập trang chủ Dashboard (GET /api/v1/admin/dashboard)","Admin Token","HTTP 200 OK, hiển thị đúng tổng doanh thu ngày, số cuốc thành công, số tài xế online","High"
"TC-ADM-002","Quản lý Khách hàng","Tìm kiếm khách hàng theo tên hoặc số điện thoại","Trang Quản lý người dùng","1. Nhập từ khóa tìm kiếm '0912345678'
2. Bấm Tìm kiếm","search = '0912345678'","HTTP 200 OK, trả về danh sách khách hàng khớp thông tin","Medium"
"TC-ADM-003","Can thiệp chuyến đi","Operator can thiệp hủy chuyến xe lỗi khi tài xế gặp tai nạn (EX-06)","Cuốc xe đang in_progress nhưng tài xế gặp sự cố xe hỏng","1. Operator mở chi tiết cuốc xe
2. Chọn 'Can thiệp: Hủy cưỡng chế'
3. Nhập lý do
4. Xác nhận","{ ""action"": ""cancel"", ""reason"": ""Tài xế gặp sự cố va chạm giao thông"" }","Ride status chuyển 'cancelled', giải phóng khách hàng đặt xe khác, ghi log AuditLog","High"
"TC-ADM-004","Báo cáo Doanh thu","Xuất báo cáo doanh thu tài chính theo khoảng thời gian và loại xe","Có dữ liệu chuyến xe đã thanh toán trong tháng 08/2026","1. Chọn Từ ngày 2026-08-01 đến 2026-08-31
2. Nhóm theo Ngày
3. Bấm 'Xem báo cáo'","startDate=2026-08-01, endDate=2026-08-31, groupBy=day","HTTP 200 OK, trả về biểu đồ và bảng tổng hợp doanh thu theo từng ngày và phân loại xe","High"
"TC-ADM-005","Báo cáo Doanh thu","Chặn lọc báo cáo với khoảng thời gian không hợp lệ (Ngày bắt đầu > Ngày kết thúc)","Màn hình Báo cáo","1. Chọn startDate = '2026-08-31', endDate = '2026-08-01'
2. Bấm Xem","startDate > endDate","Hệ thống cảnh báo: 'Ngày bắt đầu phải nhỏ hơn ngày kết thúc' (HTTP 400)","Medium"
"TC-ADM-006","Báo cáo Vận hành","Xem tỷ lệ hoàn thành cuốc và phân tích lý do hủy cuốc","Màn hình Báo cáo vận hành","1. Gửi GET /api/v1/admin/reports/operations","Admin Token","HTTP 200 OK, trả về tỷ lệ hoàn thành %, tỷ lệ hủy bởi khách vs tài xế","High"
"TC-ADM-007","Hiệu suất tài xế","Xem bảng xếp hạng Top 10 tài xế có doanh thu cao nhất","Màn hình Báo cáo tài xế","1. Gửi GET /api/v1/admin/reports/drivers?limit=10","limit = 10","HTTP 200 OK, trả về danh sách 10 tài xế có tổng tiền cước cao nhất","Medium"
"TC-SEC-001","Phân quyền RBAC","Admin truy cập endpoint quản trị cấp cao thành công (BRULE-09)","Tài khoản có role = 'admin'","1. Gửi GET /api/v1/admin/audit-logs","Token Admin","HTTP 200 OK, truy cập thành công nhật ký kiểm toán","High"
"TC-SEC-002","Phân quyền RBAC","Khách hàng cố tình gọi API Admin bị chặn 403 Forbidden","Tài khoản có role = 'customer'","1. Khách gửi request GET /api/v1/admin/dashboard","Token Customer","Hệ thống từ chối HTTP 403 Forbidden: 'Bạn không có quyền truy cập chức năng này'","High"
"TC-SEC-003","Phân quyền RBAC","Phân tách quyền nghiêm ngặt giữa Operator và Admin (FR-SEC-02)","Tài khoản có role = 'operator'","1. Operator cố tình gọi PUT /api/v1/admin/users/:id/role để đổi quyền","Token Operator","Hệ thống chặn HTTP 403 Forbidden: 'Chỉ Super Admin mới có quyền phân quyền người dùng'","High"
"TC-SEC-004","Audit Log bất biến","Tự động ghi vết Audit Log khi duyệt hồ sơ tài xế (BRULE-10)","Operator bấm duyệt tài xế A","1. Hoàn tất duyệt tài xế
2. Kiểm tra collection AuditLogs trong DB","action: 'APPROVE_DRIVER', entity: 'DriverProfile'","1 bản ghi mới được tạo trong AuditLogs chứa operatorId, timestamp, dữ liệu cũ và mới","High"
"TC-SEC-005","Audit Log bất biến","Đảm bảo Audit Log không thể bị xóa hoặc sửa (Append-Only)","Cơ sở dữ liệu MongoDB","1. Cố tình gọi hàm delete/update trên model AuditLog","AuditLog.deleteOne()","Model hoặc API chặn thao tác, không cho phép chỉnh sửa nhật ký đã ghi","High"
"TC-SEC-006","Mã hóa bảo mật","Mật khẩu người dùng bắt buộc được mã hóa bằng bcrypt trước khi lưu vào DB","Đăng ký tài khoản mới","1. Đăng ký với pass 'Password@123'
2. Mở trực tiếp MongoDB kiểm tra trường passwordHash","Password gốc: Password@123","Trường passwordHash là chuỗi mã hóa $2a$10$... không thể dịch ngược thành plaintext","High"
"TC-SEC-007","Mã hóa bảo mật","Tuyệt đối không lưu trữ thông tin số thẻ tín dụng hoặc mã CVV (NFR-SEC-04)","Khách hàng thanh toán online","1. Nhập thông tin thẻ trên Mock Gateway
2. Kiểm tra DB Payment","Card Number, CVV","Database chỉ lưu transactionId của cổng, không có bất kỳ trường nào lưu số thẻ hoặc CVV","High"
